iter	Passed	Remaining
0	1	1737
1	2	2037
2	4	2095
3	5	2058
4	6	2065
5	8	2021
6	9	2028
7	10	2045
8	12	2034
9	13	2029
10	15	2038
11	16	2024
12	17	2013
13	18	1974
14	19	1966
15	21	1947
16	22	1921
17	23	1931
18	24	1927
19	26	1929
20	27	1920
21	28	1921
22	29	1913
23	31	1921
24	32	1916
25	33	1907
26	35	1916
27	36	1911
28	37	1899
29	38	1889
30	39	1888
31	41	1891
32	42	1894
33	43	1893
34	45	1887
35	46	1897
36	47	1891
37	49	1889
38	50	1891
39	51	1892
40	52	1881
41	54	1880
42	55	1879
43	56	1865
44	57	1843
45	58	1844
46	59	1844
47	61	1847
48	62	1846
49	63	1839
50	64	1839
51	66	1837
52	67	1835
53	68	1832
54	69	1834
55	71	1834
56	72	1837
57	74	1842
58	75	1838
59	76	1843
60	77	1838
61	79	1833
62	80	1829
63	81	1833
64	82	1827
65	83	1824
66	85	1825
67	86	1822
68	88	1826
69	89	1828
70	90	1825
71	92	1828
72	93	1827
73	94	1818
74	95	1822
75	97	1820
76	98	1824
77	99	1818
78	101	1822
79	102	1822
80	104	1825
81	105	1825
82	107	1827
83	108	1827
84	109	1820
85	110	1816
86	111	1815
87	113	1814
88	113	1805
89	115	1805
90	117	1812
91	118	1810
92	119	1812
93	120	1808
94	122	1807
95	123	1804
96	124	1804
97	125	1794
98	126	1795
99	128	1793
100	129	1792
101	130	1789
102	131	1786
103	132	1784
104	134	1781
105	135	1782
106	136	1779
107	137	1776
108	139	1774
109	140	1772
110	141	1768
111	142	1769
112	144	1768
113	145	1770
114	146	1763
115	147	1762
116	148	1760
117	150	1760
118	151	1759
119	152	1759
120	154	1757
121	155	1756
122	156	1755
123	158	1755
124	159	1753
125	160	1749
126	161	1750
127	163	1747
128	164	1744
129	165	1741
130	166	1739
131	167	1735
132	168	1733
133	169	1731
134	170	1728
135	172	1728
136	173	1726
137	174	1725
138	176	1724
139	177	1723
140	178	1722
141	179	1720
142	180	1717
143	181	1713
144	183	1712
145	184	1710
146	185	1709
147	186	1708
148	188	1706
149	189	1703
150	191	1707
151	192	1707
152	193	1707
153	195	1707
154	196	1704
155	197	1703
156	198	1701
157	200	1699
158	201	1696
159	202	1695
160	203	1693
161	205	1694
162	206	1693
163	208	1695
164	209	1692
165	210	1692
166	211	1690
167	213	1689
168	214	1687
169	215	1686
170	216	1684
171	217	1682
172	219	1683
173	220	1680
174	222	1681
175	223	1681
176	224	1681
177	226	1678
178	227	1675
179	228	1674
180	229	1672
181	230	1671
182	232	1670
183	233	1669
184	234	1667
185	235	1666
186	237	1665
187	238	1666
188	240	1665
189	241	1664
190	242	1664
191	243	1661
192	245	1659
193	246	1657
194	247	1657
195	248	1655
196	249	1653
197	251	1652
198	252	1650
199	253	1648
200	254	1646
201	255	1644
202	257	1642
203	258	1641
204	259	1640
205	261	1639
206	262	1638
207	263	1638
208	264	1636
209	266	1635
210	267	1633
211	268	1631
212	269	1631
213	271	1629
214	272	1628
215	273	1627
216	275	1627
217	276	1627
218	277	1626
219	279	1626
220	280	1625
221	282	1625
222	283	1624
223	284	1622
224	286	1620
225	287	1621
226	289	1621
227	290	1619
228	291	1619
229	292	1617
230	293	1614
231	295	1614
232	296	1613
233	297	1610
234	298	1609
235	300	1607
236	301	1605
237	302	1605
238	303	1603
239	305	1603
240	306	1601
241	307	1599
242	309	1599
243	310	1598
244	311	1598
245	313	1596
246	314	1596
247	316	1595
248	317	1593
249	318	1591
250	319	1590
251	320	1588
252	322	1587
253	323	1587
254	324	1585
255	326	1584
256	327	1584
257	328	1583
258	330	1582
259	331	1581
260	332	1579
261	333	1577
262	334	1574
263	336	1575
264	337	1574
265	338	1571
266	340	1570
267	341	1570
